ability_name,category
Arm-Hand Steadiness,psychomotor
Auditory Attention,sensory
Category Flexibility,cognitive
Control Precision,psychomotor
Deductive Reasoning,cognitive
Depth Perception,sensory
Dynamic Flexibility,physical
Dynamic Strength,physical
Explosive Strength,physical
Extent Flexibility,physical
Far Vision,sensory
Finger Dexterity,psychomotor
Flexibility of Closure,cognitive
Fluency of Ideas,cognitive
Glare Sensitivity,sensory
Gross Body Coordination,physical
Gross Body Equilibrium,physical
Hearing Sensitivity,sensory
Inductive Reasoning,cognitive
Information Ordering,cognitive
Manual Dexterity,psychomotor
Mathematical Reasoning,cognitive
Memorization,cognitive
Multilimb Coordination,psychomotor
Near Vision,sensory
Night Vision,sensory
Number Facility,cognitive
Oral Comprehension,cognitive
Oral Expression,cognitive
Originality,cognitive
Perceptual Speed,cognitive
Peripheral Vision,sensory
Problem Sensitivity,cognitive
Rate Control,psychomotor
Reaction Time,psychomotor
Response Orientation,psychomotor
Selective Attention,cognitive
Sound Localization,sensory
Spatial Orientation,cognitive
Speech Clarity,sensory
Speech Recognition,sensory
Speed of Closure,cognitive
Speed of Limb Movement,psychomotor
Stamina,physical
Static Strength,physical
Time Sharing,cognitive
Trunk Strength,physical
Visual Color Discrimination,sensory
Visualization,cognitive
Wrist-Finger Speed,psychomotor
Written Comprehension,cognitive
Written Expression,cognitive
