task_id,occupation,task_text,ability_name,weight,uncertain
66,"Wholesale and Retail Buyers, Except Farm Products","Monitor and analyze sales records, trends, or economic conditions to anticipate consumer buying patterns, company sales, and needed inventory.",Inductive Reasoning,3,0
66,"Wholesale and Retail Buyers, Except Farm Products","Monitor and analyze sales records, trends, or economic conditions to anticipate consumer buying patterns, company sales, and needed inventory.",Mathematical Reasoning,2,0
66,"Wholesale and Retail Buyers, Except Farm Products","Monitor and analyze sales records, trends, or economic conditions to anticipate consumer buying patterns, company sales, and needed inventory.",Number Facility,2,0
66,"Wholesale and Retail Buyers, Except Farm Products","Monitor and analyze sales records, trends, or economic conditions to anticipate consumer buying patterns, company sales, and needed inventory.",Written Comprehension,2,0
66,"Wholesale and Retail Buyers, Except Farm Products","Monitor and analyze sales records, trends, or economic conditions to anticipate consumer buying patterns, company sales, and needed inventory.",Deductive Reasoning,2,0
68,"Wholesale and Retail Buyers, Except Farm Products",Authorize payment of invoices or return of merchandise.,Written Comprehension,2,0
68,"Wholesale and Retail Buyers, Except Farm Products",Authorize payment of invoices or return of merchandise.,Number Facility,2,0
68,"Wholesale and Retail Buyers, Except Farm Products",Authorize payment of invoices or return of merchandise.,Deductive Reasoning,2,0
68,"Wholesale and Retail Buyers, Except Farm Products",Authorize payment of invoices or return of merchandise.,Near Vision,1,0
72,"Wholesale and Retail Buyers, Except Farm Products",Consult with store or merchandise managers about budgets or goods to be purchased.,Oral Comprehension,3,0
72,"Wholesale and Retail Buyers, Except Farm Products",Consult with store or merchandise managers about budgets or goods to be purchased.,Oral Expression,2,0
72,"Wholesale and Retail Buyers, Except Farm Products",Consult with store or merchandise managers about budgets or goods to be purchased.,Written Comprehension,2,0
72,"Wholesale and Retail Buyers, Except Farm Products",Consult with store or merchandise managers about budgets or goods to be purchased.,Deductive Reasoning,2,0
72,"Wholesale and Retail Buyers, Except Farm Products",Consult with store or merchandise managers about budgets or goods to be purchased.,Number Facility,2,0
72,"Wholesale and Retail Buyers, Except Farm Products",Consult with store or merchandise managers about budgets or goods to be purchased.,Speech Recognition,2,0
72,"Wholesale and Retail Buyers, Except Farm Products",Consult with store or merchandise managers about budgets or goods to be purchased.,Speech Clarity,1,0
76,"Wholesale and Retail Buyers, Except Farm Products",Train or supervise sales or clerical staff.,Oral Expression,3,0
76,"Wholesale and Retail Buyers, Except Farm Products",Train or supervise sales or clerical staff.,Oral Comprehension,2,0
76,"Wholesale and Retail Buyers, Except Farm Products",Train or supervise sales or clerical staff.,Speech Clarity,2,0
76,"Wholesale and Retail Buyers, Except Farm Products",Train or supervise sales or clerical staff.,Information Ordering,2,0
76,"Wholesale and Retail Buyers, Except Farm Products",Train or supervise sales or clerical staff.,Deductive Reasoning,1,0
76,"Wholesale and Retail Buyers, Except Farm Products",Train or supervise sales or clerical staff.,Fluency of Ideas,1,0
77,"Wholesale and Retail Buyers, Except Farm Products","Provide clerks with information to print on price tags, such as price, mark-ups or mark-downs, manufacturer number, season code, or style number.",Written Expression,2,0
77,"Wholesale and Retail Buyers, Except Farm Products","Provide clerks with information to print on price tags, such as price, mark-ups or mark-downs, manufacturer number, season code, or style number.",Written Comprehension,2,0
77,"Wholesale and Retail Buyers, Except Farm Products","Provide clerks with information to print on price tags, such as price, mark-ups or mark-downs, manufacturer number, season code, or style number.",Near Vision,2,0
77,"Wholesale and Retail Buyers, Except Farm Products","Provide clerks with information to print on price tags, such as price, mark-ups or mark-downs, manufacturer number, season code, or style number.",Information Ordering,2,0
77,"Wholesale and Retail Buyers, Except Farm Products","Provide clerks with information to print on price tags, such as price, mark-ups or mark-downs, manufacturer number, season code, or style number.",Number Facility,2,0
77,"Wholesale and Retail Buyers, Except Farm Products","Provide clerks with information to print on price tags, such as price, mark-ups or mark-downs, manufacturer number, season code, or style number.",Oral Expression,1,0
77,"Wholesale and Retail Buyers, Except Farm Products","Provide clerks with information to print on price tags, such as price, mark-ups or mark-downs, manufacturer number, season code, or style number.",Selective Attention,1,0
78,"Wholesale and Retail Buyers, Except Farm Products","Determine which products should be featured in advertising, the advertising medium to be used, or when the ads should be run.",Inductive Reasoning,2,0
78,"Wholesale and Retail Buyers, Except Farm Products","Determine which products should be featured in advertising, the advertising medium to be used, or when the ads should be run.",Deductive Reasoning,2,0
78,"Wholesale and Retail Buyers, Except Farm Products","Determine which products should be featured in advertising, the advertising medium to be used, or when the ads should be run.",Oral Comprehension,2,0
78,"Wholesale and Retail Buyers, Except Farm Products","Determine which products should be featured in advertising, the advertising medium to be used, or when the ads should be run.",Written Comprehension,2,0
78,"Wholesale and Retail Buyers, Except Farm Products","Determine which products should be featured in advertising, the advertising medium to be used, or when the ads should be run.",Written Expression,2,0
78,"Wholesale and Retail Buyers, Except Farm Products","Determine which products should be featured in advertising, the advertising medium to be used, or when the ads should be run.",Originality,2,0
78,"Wholesale and Retail Buyers, Except Farm Products","Determine which products should be featured in advertising, the advertising medium to be used, or when the ads should be run.",Fluency of Ideas,2,0
78,"Wholesale and Retail Buyers, Except Farm Products","Determine which products should be featured in advertising, the advertising medium to be used, or when the ads should be run.",Problem Sensitivity,1,0
79,"Wholesale and Retail Buyers, Except Farm Products",Monitor competitors' sales activities by following their advertisements in newspapers or other media.,Written Comprehension,3,0
79,"Wholesale and Retail Buyers, Except Farm Products",Monitor competitors' sales activities by following their advertisements in newspapers or other media.,Inductive Reasoning,2,0
79,"Wholesale and Retail Buyers, Except Farm Products",Monitor competitors' sales activities by following their advertisements in newspapers or other media.,Information Ordering,1,0
79,"Wholesale and Retail Buyers, Except Farm Products",Monitor competitors' sales activities by following their advertisements in newspapers or other media.,Selective Attention,2,0
79,"Wholesale and Retail Buyers, Except Farm Products",Monitor competitors' sales activities by following their advertisements in newspapers or other media.,Near Vision,2,0
79,"Wholesale and Retail Buyers, Except Farm Products",Monitor competitors' sales activities by following their advertisements in newspapers or other media.,Perceptual Speed,2,0
