"task_id","occupation","task_text","ability_name","weight","uncertain"
"19800","Precision Agriculture Technicians","Advise farmers on upgrading Global Positioning System (GPS) equipment to take advantage of newly installed advanced satellite technology.","Oral Comprehension","2","0"
"19800","Precision Agriculture Technicians","Advise farmers on upgrading Global Positioning System (GPS) equipment to take advantage of newly installed advanced satellite technology.","Oral Expression","3","0"
"19800","Precision Agriculture Technicians","Advise farmers on upgrading Global Positioning System (GPS) equipment to take advantage of newly installed advanced satellite technology.","Written Comprehension","2","0"
"19800","Precision Agriculture Technicians","Advise farmers on upgrading Global Positioning System (GPS) equipment to take advantage of newly installed advanced satellite technology.","Deductive Reasoning","2","0"
"19800","Precision Agriculture Technicians","Advise farmers on upgrading Global Positioning System (GPS) equipment to take advantage of newly installed advanced satellite technology.","Inductive Reasoning","2","0"
"19800","Precision Agriculture Technicians","Advise farmers on upgrading Global Positioning System (GPS) equipment to take advantage of newly installed advanced satellite technology.","Problem Sensitivity","2","0"
"19800","Precision Agriculture Technicians","Advise farmers on upgrading Global Positioning System (GPS) equipment to take advantage of newly installed advanced satellite technology.","Speech Clarity","2","0"
"18290","Precision Agriculture Technicians","Contact equipment manufacturers for technical assistance, as needed.","Oral Comprehension","3","0"
"18290","Precision Agriculture Technicians","Contact equipment manufacturers for technical assistance, as needed.","Oral Expression","3","0"
"18290","Precision Agriculture Technicians","Contact equipment manufacturers for technical assistance, as needed.","Speech Recognition","2","0"
"18290","Precision Agriculture Technicians","Contact equipment manufacturers for technical assistance, as needed.","Speech Clarity","2","0"
"18290","Precision Agriculture Technicians","Contact equipment manufacturers for technical assistance, as needed.","Written Comprehension","2","0"
"18290","Precision Agriculture Technicians","Contact equipment manufacturers for technical assistance, as needed.","Problem Sensitivity","2","0"
"18287","Precision Agriculture Technicians","Identify areas in need of pesticide treatment by analyzing geospatial data to determine insect movement and damage patterns.","Inductive Reasoning","3","0"
"18287","Precision Agriculture Technicians","Identify areas in need of pesticide treatment by analyzing geospatial data to determine insect movement and damage patterns.","Deductive Reasoning","2","0"
"18287","Precision Agriculture Technicians","Identify areas in need of pesticide treatment by analyzing geospatial data to determine insect movement and damage patterns.","Problem Sensitivity","3","0"
"18287","Precision Agriculture Technicians","Identify areas in need of pesticide treatment by analyzing geospatial data to determine insect movement and damage patterns.","Spatial Orientation","3","0"
"18287","Precision Agriculture Technicians","Identify areas in need of pesticide treatment by analyzing geospatial data to determine insect movement and damage patterns.","Written Comprehension","2","0"
"18287","Precision Agriculture Technicians","Identify areas in need of pesticide treatment by analyzing geospatial data to determine insect movement and damage patterns.","Category Flexibility","2","0"
"18287","Precision Agriculture Technicians","Identify areas in need of pesticide treatment by analyzing geospatial data to determine insect movement and damage patterns.","Visualization","2","0"
"7582","Food Science Technicians","Taste or smell foods or beverages to ensure that flavors meet specifications or to select samples with specific characteristics.","Selective Attention","3","0"
"7582","Food Science Technicians","Taste or smell foods or beverages to ensure that flavors meet specifications or to select samples with specific characteristics.","Perceptual Speed","2","0"
"7582","Food Science Technicians","Taste or smell foods or beverages to ensure that flavors meet specifications or to select samples with specific characteristics.","Problem Sensitivity","2","0"
"7582","Food Science Technicians","Taste or smell foods or beverages to ensure that flavors meet specifications or to select samples with specific characteristics.","Category Flexibility","2","0"
"7582","Food Science Technicians","Taste or smell foods or beverages to ensure that flavors meet specifications or to select samples with specific characteristics.","Memorization","2","0"
"7585","Food Science Technicians","Measure, test, or weigh bottles, cans, or other containers to ensure that hardness, strength, or dimensions meet specifications.","Near Vision","3","0"
"7585","Food Science Technicians","Measure, test, or weigh bottles, cans, or other containers to ensure that hardness, strength, or dimensions meet specifications.","Arm-Hand Steadiness","2","0"
"7585","Food Science Technicians","Measure, test, or weigh bottles, cans, or other containers to ensure that hardness, strength, or dimensions meet specifications.","Finger Dexterity","2","0"
"7585","Food Science Technicians","Measure, test, or weigh bottles, cans, or other containers to ensure that hardness, strength, or dimensions meet specifications.","Problem Sensitivity","2","0"
"7585","Food Science Technicians","Measure, test, or weigh bottles, cans, or other containers to ensure that hardness, strength, or dimensions meet specifications.","Selective Attention","2","0"
"7585","Food Science Technicians","Measure, test, or weigh bottles, cans, or other containers to ensure that hardness, strength, or dimensions meet specifications.","Number Facility","2","0"
"7585","Food Science Technicians","Measure, test, or weigh bottles, cans, or other containers to ensure that hardness, strength, or dimensions meet specifications.","Perceptual Speed","2","0"
"20394","Food Science Technicians","Maintain records of testing results or other documents as required by state or other governing agencies.","Written Expression","3","0"
"20394","Food Science Technicians","Maintain records of testing results or other documents as required by state or other governing agencies.","Written Comprehension","2","0"
"20394","Food Science Technicians","Maintain records of testing results or other documents as required by state or other governing agencies.","Information Ordering","2","0"
"20394","Food Science Technicians","Maintain records of testing results or other documents as required by state or other governing agencies.","Selective Attention","2","0"
"20394","Food Science Technicians","Maintain records of testing results or other documents as required by state or other governing agencies.","Number Facility","1","0"
"20395","Food Science Technicians","Monitor and control temperature of products.","Selective Attention","3","0"
"20395","Food Science Technicians","Monitor and control temperature of products.","Problem Sensitivity","3","0"
"20395","Food Science Technicians","Monitor and control temperature of products.","Near Vision","2","0"
"20395","Food Science Technicians","Monitor and control temperature of products.","Deductive Reasoning","2","0"
"20395","Food Science Technicians","Monitor and control temperature of products.","Time Sharing","2","0"
"7581","Food Science Technicians","Analyze test results to classify products or compare results with standard tables.","Inductive Reasoning","3","0"
"7581","Food Science Technicians","Analyze test results to classify products or compare results with standard tables.","Deductive Reasoning","3","0"
"7581","Food Science Technicians","Analyze test results to classify products or compare results with standard tables.","Number Facility","2","0"
"7581","Food Science Technicians","Analyze test results to classify products or compare results with standard tables.","Written Comprehension","2","0"
"7581","Food Science Technicians","Analyze test results to classify products or compare results with standard tables.","Category Flexibility","3","0"
"7581","Food Science Technicians","Analyze test results to classify products or compare results with standard tables.","Problem Sensitivity","2","0"
"7581","Food Science Technicians","Analyze test results to classify products or compare results with standard tables.","Perceptual Speed","2","0"
"7579","Food Science Technicians","Record or compile test results or prepare graphs, charts, or reports.","Written Expression","3","0"
"7579","Food Science Technicians","Record or compile test results or prepare graphs, charts, or reports.","Number Facility","2","0"
"7579","Food Science Technicians","Record or compile test results or prepare graphs, charts, or reports.","Information Ordering","2","0"
"7579","Food Science Technicians","Record or compile test results or prepare graphs, charts, or reports.","Visualization","2","0"
"7579","Food Science Technicians","Record or compile test results or prepare graphs, charts, or reports.","Mathematical Reasoning","1","0"
"7579","Food Science Technicians","Record or compile test results or prepare graphs, charts, or reports.","Perceptual Speed","2","0"
"20396","Food Science Technicians","Perform regular maintenance of laboratory equipment by inspecting, calibrating, cleaning, or sterilizing.","Problem Sensitivity","3","0"
"20396","Food Science Technicians","Perform regular maintenance of laboratory equipment by inspecting, calibrating, cleaning, or sterilizing.","Near Vision","3","0"
"20396","Food Science Technicians","Perform regular maintenance of laboratory equipment by inspecting, calibrating, cleaning, or sterilizing.","Arm-Hand Steadiness","2","0"
"20396","Food Science Technicians","Perform regular maintenance of laboratory equipment by inspecting, calibrating, cleaning, or sterilizing.","Finger Dexterity","2","0"
"20396","Food Science Technicians","Perform regular maintenance of laboratory equipment by inspecting, calibrating, cleaning, or sterilizing.","Manual Dexterity","2","0"
"20396","Food Science Technicians","Perform regular maintenance of laboratory equipment by inspecting, calibrating, cleaning, or sterilizing.","Deductive Reasoning","2","0"
"20396","Food Science Technicians","Perform regular maintenance of laboratory equipment by inspecting, calibrating, cleaning, or sterilizing.","Selective Attention","2","0"
"7583","Food Science Technicians","Examine chemical or biological samples to identify cell structures or to locate bacteria or extraneous material, using a microscope.","Near Vision","3","0"
"7583","Food Science Technicians","Examine chemical or biological samples to identify cell structures or to locate bacteria or extraneous material, using a microscope.","Selective Attention","3","0"
"7583","Food Science Technicians","Examine chemical or biological samples to identify cell structures or to locate bacteria or extraneous material, using a microscope.","Perceptual Speed","3","0"
